,0,1,2
0,0.28450061,0.28599986,0.10494753
1,0.21524952,0.28450061,0.28599986
2,0.17055758,0.21524952,0.28450061
3,0.15063897,0.17055758,0.21524952
4,0.15685015,0.15063897,0.17055758
5,0.19904334,0.15685015,0.15063897
6,0.23973727,0.19904334,0.15685015
7,0.25565789,0.23973727,0.19904334
8,0.26793746,0.25565789,0.23973727
9,0.27964589,0.26793746,0.25565789
10,0.29064039,0.27964589,0.26793746
11,0.30449061,0.29064039,0.27964589
12,0.33911616,0.30449061,0.29064039
13,0.34339973,0.33911616,0.30449061
14,0.35025344,0.34339973,0.33911616
15,0.35539373,0.35025344,0.34339973
16,0.3346898,0.35539373,0.35025344
17,0.22553009,0.3346898,0.35539373
18,0.16798743,0.22553009,0.3346898
19,0.13764546,0.16798743,0.22553009
20,0.11779824,0.13764546,0.16798743
21,0.10944528,0.11779824,0.13764546
22,0.09659456,0.10944528,0.11779824
23,0.088812736,0.09659456,0.10944528
24,0.082458771,0.088812736,0.09659456
25,0.075462269,0.082458771,0.088812736
26,0.070678946,0.075462269,0.082458771
27,0.070107803,0.070678946,0.075462269
28,0.066609552,0.070107803,0.070678946
29,0.063896623,0.066609552,0.070107803
30,0.060898122,0.063896623,0.066609552
31,0.057328479,0.060898122,0.063896623
32,0.053687442,0.057328479,0.060898122
33,0.050546155,0.053687442,0.057328479
34,0.048904119,0.050546155,0.053687442
35,0.047047905,0.048904119,0.050546155
36,0.046119797,0.047047905,0.048904119
37,0.047761833,0.046119797,0.047047905
38,0.042692939,0.047761833,0.046119797
39,0.038337974,0.042692939,0.047761833
40,0.034625544,0.038337974,0.042692939
41,0.042907118,0.034625544,0.038337974
42,0.063182694,0.042907118,0.034625544
43,0.081673449,0.063182694,0.042907118
44,0.074534161,0.081673449,0.063182694
45,0.080031413,0.074534161,0.081673449
46,0.075319483,0.080031413,0.074534161
47,0.083315485,0.075319483,0.080031413
48,0.084386378,0.083315485,0.075319483
49,0.079174698,0.084386378,0.083315485
50,0.10573285,0.079174698,0.084386378
51,0.10501892,0.10573285,0.079174698
52,0.13079175,0.10501892,0.10573285
53,0.10844578,0.13079175,0.10501892
54,0.20725352,0.10844578,0.13079175
55,0.24587706,0.20725352,0.10844578
56,0.24730492,0.24587706,0.20725352
57,0.24509174,0.24730492,0.24587706
58,0.19026201,0.24509174,0.24730492
59,0.16099093,0.19026201,0.24509174
60,0.15006782,0.16099093,0.19026201
61,0.16256158,0.15006782,0.16099093
62,0.15420861,0.16256158,0.15006782
63,0.11779824,0.15420861,0.16256158
64,0.10330549,0.11779824,0.15420861
65,0.081744842,0.10330549,0.11779824
66,0.076675948,0.081744842,0.10330549
67,0.069679446,0.076675948,0.081744842
68,0.054829728,0.069679446,0.076675948
69,0.048689941,0.054829728,0.069679446
70,0.047333476,0.048689941,0.054829728
71,0.043121296,0.047333476,0.048689941
72,0.043264082,0.043121296,0.047333476
73,0.04569144,0.043264082,0.043121296
74,0.047047905,0.04569144,0.043264082
75,0.039194688,0.047047905,0.04569144
76,0.035482259,0.039194688,0.047047905
77,0.035196687,0.035482259,0.039194688
78,0.039837224,0.035196687,0.035482259
79,0.037838224,0.039837224,0.035196687
80,0.033054901,0.037838224,0.039837224
81,0.030341972,0.033054901,0.037838224
82,0.02755765,0.030341972,0.033054901
83,0.026058399,0.02755765,0.030341972
84,0.024202185,0.026058399,0.02755765
85,0.022274577,0.024202185,0.026058399
86,0.021560648,0.022274577,0.024202185
87,0.019918612,0.021560648,0.022274577
88,0.01913329,0.019918612,0.021560648
89,0.018347969,0.01913329,0.019918612
90,0.018347969,0.018347969,0.01913329
91,0.015206682,0.018347969,0.018347969
92,0.017919612,0.015206682,0.018347969
93,0.020775327,0.017919612,0.015206682
94,0.025844221,0.020775327,0.017919612
95,0.038909117,0.025844221,0.020775327
96,0.054972514,0.038909117,0.025844221
97,0.05340187,0.054972514,0.038909117
98,0.096166203,0.05340187,0.054972514
99,0.18112372,0.096166203,0.05340187
100,0.1021632,0.18112372,0.096166203
101,0.099735846,0.1021632,0.18112372
102,0.19504533,0.099735846,0.1021632
103,0.22588706,0.19504533,0.099735846
104,0.10509031,0.22588706,0.19504533
105,0.17862497,0.10509031,0.22588706
